# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:h                     11:h_prime               12:eta                   13:eta_prime             14:H_T_Nb_prime          15:k2gamma_Nb            16:t_g                   17:t_b                   18:t_ur                  19:t_tot              
       7.921773386546e-02      -1.414538042279e-01      -1.043477803502e+02      -1.347754285465e+02      -1.412114593585e-01      -1.300690598209e+02      -1.263239625005e+02       1.090341676032e-01       1.090341676032e-01       2.695508570930e+02       3.289586259314e-01       1.827491681107e-01      -6.061814662437e-06       5.636522745103e-06      -7.236374506997e-09      -1.644797133394e-01      -4.676879096301e-03      -1.644793129657e-01      -6.955492662256e-03 
       8.232096929547e-02      -1.345648158133e-01      -1.050040543753e+02      -1.391045572013e+02      -1.343350586765e-01      -1.338301118944e+02      -1.299763008166e+02       1.038877149713e-01       1.038877149713e-01       2.782091144026e+02       3.387254970758e-01       1.741769887196e-01      -5.893065040398e-06       5.371576268857e-06      -6.896227148929e-09      -1.693631264293e-01      -5.757994006149e-03      -1.693627485379e-01      -7.302227516060e-03 
       8.545992618762e-02      -1.277808760915e-01      -1.046620463399e+02      -1.431652659352e+02      -1.275635516559e-01      -1.372098377316e+02      -1.332582971108e+02       9.883018343123e-02       9.883018343123e-02       2.863305318704e+02       3.475807419405e-01       1.657562283324e-01      -5.733785882811e-06       5.111191660704e-06      -6.561936472758e-09      -1.737907265733e-01      -7.011525160196e-03      -1.737903709703e-01      -7.657274508053e-03 
       8.864578846464e-02      -1.212124257955e-01      -1.036575561239e+02      -1.470136685090e+02      -1.210071054564e-01      -1.403076005258e+02      -1.362664735285e+02       9.392746710036e-02       9.392746710036e-02       2.940273370179e+02       3.557472538176e-01       1.575911841048e-01      -5.574726805218e-06       4.858699461441e-06      -6.237778289446e-09      -1.778739610557e-01      -8.339535659841e-03      -1.778736269088e-01      -8.010300103766e-03 
       9.188829274252e-02      -1.149788843015e-01      -1.024325653305e+02      -1.507301548711e+02      -1.147848585064e-01      -1.432597130432e+02      -1.391332352215e+02       8.925442167669e-02       8.925442167669e-02       3.014603097421e+02       3.635357320036e-01       1.498018182100e-01      -5.408097016209e-06       4.617895367316e-06      -5.928625608582e-09      -1.817681801568e-01      -9.624583239996e-03      -1.817678660018e-01      -8.349738788036e-03 
       9.519614164463e-02      -1.091940267187e-01      -1.015056978938e+02      -1.544167489485e+02      -1.090103290658e-01      -1.462326356177e+02      -1.420202626166e+02       8.488484738035e-02       8.488484738035e-02       3.088334978971e+02       3.713301172630e-01       1.425073748577e-01      -5.228587027534e-06       4.392533351450e-06      -5.639297894109e-09      -1.856653548193e-01      -1.073933557009e-02      -1.856650586315e-01      -8.663946850537e-03 
       9.857729016516e-02      -1.039507163585e-01      -1.014229202911e+02      -1.581897165124e+02      -1.037761803956e-01      -1.494091020329e+02      -1.451050353237e+02       8.088099826930e-02       8.088099826930e-02       3.163794330248e+02       3.795563346896e-01       1.358092101429e-01      -5.033020054644e-06       4.185794471429e-06      -5.373879082957e-09      -1.897784480111e-01      -1.156049235350e-02      -1.897781673448e-01      -8.942679514788e-03 
       1.020391487914e-01      -9.930760882078e-02      -1.026944586244e+02      -1.621684360699e+02      -9.914095221082e-02      -1.529689538550e+02      -1.485622174061e+02       7.728435362225e-02       7.728435362225e-02       3.243368721399e+02       3.886384725486e-01       1.297756542178e-01      -4.821218138058e-06       3.999814611953e-06      -5.135111291552e-09      -1.943195040909e-01      -1.198489399281e-02      -1.943192362743e-01      -9.178654365750e-03 
       1.055887303476e-01      -9.527769109523e-02      -1.057159608452e+02      -1.664600418719e+02      -9.511762286011e-02      -1.570639633043e+02      -1.525392047520e+02       7.410750272530e-02       7.410750272530e-02       3.329200837437e+02       3.989404788982e-01       1.244286422992e-01      -4.595926869519e-06       3.835269724699e-06      -4.923862337840e-09      -1.994704970737e-01      -1.194826967664e-02      -1.994702394491e-01      -9.369231995738e-03 
       1.092327577469e-01      -9.182210483063e-02      -1.106897357453e+02      -1.711423687202e+02      -9.166744294014e-02      -1.617912317537e+02      -1.571302900158e+02       7.132944612004e-02       7.132944612004e-02       3.422847374403e+02       4.107039541982e-01       1.197358607703e-01      -4.362391220975e-06       3.691129923723e-06      -4.738810051357e-09      -2.053522269181e-01      -1.144206652892e-02      -2.053519770991e-01      -9.517736783602e-03 
       1.129777439374e-01      -8.884934798977e-02      -1.175518880353e+02      -1.762465058038e+02      -8.869913533271e-02      -1.671671692566e+02      -1.623513926284e+02       6.889438657562e-02       6.889438657562e-02       3.524930116076e+02       4.239865436468e-01       1.156085309362e-01      -4.127897051985e-06       3.564592173877e-06      -4.576355852620e-09      -2.119935157036e-01      -1.052724090576e-02      -2.119932718234e-01      -9.634337009952e-03 
       1.168300516579e-01      -8.622264042440e-02      -1.259298493935e+02      -1.817427871761e+02      -8.607624063518e-02      -1.731090804326e+02      -1.681221772377e+02       6.671575507644e-02       6.671575507644e-02       3.634855743523e+02       4.386167025113e-01       1.119076264684e-01      -3.900656802138e-06       3.451280004455e-06      -4.430881130837e-09      -2.193085903459e-01      -9.338230805811e-03      -2.193083512557e-01      -9.735775314369e-03 
       1.207959382880e-01      -8.377492412480e-02      -1.351431649883e+02      -1.875339956204e+02      -8.363208099842e-02      -1.794295389387e+02      -1.742605931309e+02       6.468537297547e-02       6.468537297547e-02       3.750679912408e+02       4.541774165379e-01       1.084584582282e-01      -3.689215975341e-06       3.345706409330e-06      -4.295341519849e-09      -2.270889428851e-01      -8.075473827494e-03      -2.270887082689e-01      -9.843945477485e-03 
       1.248815895596e-01      -8.133047132003e-02      -1.442619315758e+02      -1.934592509964e+02      -8.119131772072e-02      -1.858487119354e+02      -1.804948471346e+02       6.268717606827e-02       6.268717606827e-02       3.869185019928e+02       4.700312272358e-01       1.050727340897e-01      -3.500498920057e-06       3.241967657838e-06      -4.162157648767e-09      -2.350158432408e-01      -6.983322930301e-03      -2.350156136179e-01      -9.983082032929e-03 
       1.290931449039e-01      -7.873251476404e-02      -1.522393697825e+02      -1.993141860173e+02      -7.859751909484e-02      -1.920319209178e+02      -1.864998861130e+02       6.061530423081e-02       6.061530423081e-02       3.986283720346e+02       4.854044656700e-01       1.015778468152e-01      -3.338981807846e-06       3.134659023919e-06      -4.024390769910e-09      -2.427024562442e-01      -6.311488584833e-03      -2.427022328350e-01      -1.017562498677e-02 
       1.334367165426e-01      -7.587131960989e-02      -1.581049159911e+02      -2.048868269915e+02      -7.574117095039e-02      -1.976498410534e+02      -1.919558651767e+02       5.839293376947e-02       5.839293376947e-02       4.097736539829e+02       4.995255001319e-01       9.784753600609e-02      -3.205630270597e-06       3.019831177610e-06      -3.876970606333e-09      -2.497629656032e-01      -6.265268920303e-03      -2.497627500659e-01      -1.043744372862e-02 
       1.379184039941e-01      -7.270716016289e-02      -1.611925039149e+02      -2.100048215896e+02      -7.258260579318e-02      -2.024537371937e+02      -1.966212180928e+02       5.598803417903e-02       5.598803417903e-02       4.200096431792e+02       5.117993386617e-01       9.382766860468e-02      -3.097170727513e-06       2.895799007253e-06      -3.717733728405e-09      -2.558998752607e-01      -6.952062570385e-03      -2.558996693308e-01      -1.077319956325e-02 
       1.425443053723e-01      -6.928209792794e-02      -1.613601651763e+02      -2.145846955928e+02      -6.916375954858e-02      -2.063510735708e+02      -2.004060887270e+02       5.342201310568e-02       5.342201310568e-02       4.291693911856e+02       5.219851561797e-01       8.955058840608e-02      -3.007070002089e-06       2.763591841544e-06      -3.548001581717e-09      -2.609927729989e-01      -8.335799607544e-03      -2.609925780898e-01      -1.117294217554e-02 
       1.473205266606e-01      -6.571546171499e-02      -1.591327186453e+02      -2.186708342398e+02      -6.560366769314e-02      -2.094605412329e+02      -2.034257708291e+02       5.076780575444e-02       5.076780575444e-02       4.373416684797e+02       5.303284307891e-01       8.513241924495e-02      -2.925742706616e-06       2.626869851654e-06      -3.372473170183e-09      -2.651643985462e-01      -1.021588994067e-02      -2.651642153946e-01      -1.161149107482e-02 
       1.522531900209e-01      -6.218076121993e-02      -1.557020752469e+02      -2.224484829340e+02      -6.207543556058e-02      -2.121230984935e+02      -2.060114259052e+02       4.813570434688e-02       4.813570434688e-02       4.448969658681e+02       5.375928720921e-01       8.075047970318e-02      -2.842966846721e-06       2.491214112629e-06      -3.198313613949e-09      -2.687966076053e-01      -1.224430361966e-02      -2.687964360460e-01      -1.205158499828e-02 
